"名称","住所","MTENO","LinkNo","経度","緯度","分類"
"","","12","2178","135.562916667426","34.3114208333193","埋蔵文化財包蔵地_点"
"","","13","2179","135.569532999706","34.3132971392041","埋蔵文化財包蔵地_点"
"","","5","2171","135.566069924377","34.3074387576234","埋蔵文化財包蔵地_点"
"","","11","2177","135.564463500096","34.2994226109062","埋蔵文化財包蔵地_点"
"","","22","2188","135.55934016828","34.304895788423","埋蔵文化財包蔵地_点"
"","","6","2172","135.563248098209","34.3053224030631","埋蔵文化財包蔵地_点"
"","","10","2176","135.561500693941","34.3089112219828","埋蔵文化財包蔵地_点"
"","","3","2169","135.56669960844","34.3133078790535","埋蔵文化財包蔵地_点"
"","","1","2233","135.561931389812","34.2900948190428","埋蔵文化財包蔵地_点"
"","","17","2183","135.57520317937","34.3031978620591","埋蔵文化財包蔵地_点"
"","","5","2236","135.560574003494","34.2882139318577","埋蔵文化財包蔵地_点"
"","","23","2189","135.563643971955","34.3015006392254","埋蔵文化財包蔵地_点"
"","","16","2182","135.570055056105","34.3029435281984","埋蔵文化財包蔵地_点"
"","","2","2168","135.57214344398","34.3166002775512","埋蔵文化財包蔵地_点"
"","","1","2167","135.574430581981","34.3162844079084","埋蔵文化財包蔵地_点"
"","","10","2241","135.568479645525","34.2889292485684","埋蔵文化財包蔵地_点"
"","","21","2187","135.561193635147","34.3067565249492","埋蔵文化財包蔵地_点"
"","","7","2173","135.574291746432","34.3141270702497","埋蔵文化財包蔵地_点"
"","","8","2174","135.575060528174","34.3128428891293","埋蔵文化財包蔵地_点"
"","","15","2181","135.573223888931","34.3128161109358","埋蔵文化財包蔵地_点"
"","","2","2228","135.576756303724","34.159851572394","埋蔵文化財包蔵地_点"
"","","1","2227","135.566409057672","34.1366249507407","埋蔵文化財包蔵地_点"
"","","4","2248","135.592345919321","34.2181913306269","埋蔵文化財包蔵地_点"
"","","3","2247","135.596715164282","34.2077456964791","埋蔵文化財包蔵地_点"
"","","5","2249","135.591845678848","34.2069560791888","埋蔵文化財包蔵地_点"
"","","2","2196","135.525929793593","34.3178617423999","埋蔵文化財包蔵地_点"
"","","1","2195","135.530089414586","34.3088901083339","埋蔵文化財包蔵地_点"
"","","14","2208","135.533763276332","34.3083082278488","埋蔵文化財包蔵地_点"
"","","18","2184","135.549417511612","34.3128238301439","埋蔵文化財包蔵地_点"
"","","9","2175","135.559177025294","34.3077930960454","埋蔵文化財包蔵地_点"
"","","3","2234","135.546755474022","34.2995080674023","埋蔵文化財包蔵地_点"
"","","4","2235","135.546105441103","34.2980892583408","埋蔵文化財包蔵地_点"
"","","7","2238","135.542378181268","34.2925452856757","埋蔵文化財包蔵地_点"
"","","3","2164","135.601595513979","34.3150721126787","埋蔵文化財包蔵地_点"
"","","80","2131","135.590367397486","34.2965299417705","埋蔵文化財包蔵地_点"
"","","40","2098","135.589640620298","34.2991488962696","埋蔵文化財包蔵地_点"
"","","50","2105","135.581355994323","34.296595810956","埋蔵文化財包蔵地_点"
"","","78","2129","135.591070193326","34.2916726330372","埋蔵文化財包蔵地_点"
"","","77","2128","135.595841404998","34.2925295436637","埋蔵文化財包蔵地_点"
"","","56","2111","135.57935928726","34.3054620903862","埋蔵文化財包蔵地_点"
