"名称_1","住所","天LinkNo","番号","地図","指定等区分","指定種別","名称_2","めいしょう","指定年月日","所在地","所有者（菅","備考","市町村CD","市町村地区","経度","緯度","分類"
"","","146","17.000000","","県指定","史跡","禅尼上智碑","ぜんにじょうちひ","昭33.4.1","高野山奥之院墓地","金剛峯寺","1基","09","高野町","135.602679366173","34.2172229039442","史跡_名勝_天然記念物_面"
"","","147","18.000000","","県指定","史跡","高麗陣敵味方戦死者供養碑","こうらいじんてきみかたせんししゃくようひ","昭33.4.1","高野山奥之院墓地","正智院","1基","09","高野町","135.603605391255","34.2179981861555","史跡_名勝_天然記念物_面"
"","","148","19.000000","","県指定","史跡","武田信玄・武田勝頼墓地","たけだしんげん・たけだかつよりぼち","昭43.4.16","高野山奥之院墓地","桜池院","","09","高野町","135.598510363101","34.2163020820302","史跡_名勝_天然記念物_面"
"","","149","20.000000","","県指定","史跡","崇源夫人五輪石塔","すうげんふじんごりんせきとう","昭34.1.8","高野山奥之院墓地","蓮華院","1基","09","高野町","135.604415877423","34.2194256763149","史跡_名勝_天然記念物_面"
"","","150","21.000000","","県指定","天然記念物","丹生神社のトガサワラ","にうじんじゃのとがさわら","平27.1.15","高野町相ノ浦318","相ノ浦丹生神社","1本","09","高野町","135.589786015284","34.1694153524204","史跡_名勝_天然記念物_面"
"","","192","5.000000","","県指定","天然記念物","藤並神社のイチイガシ","ふじなみじんじゃのいちいがし","平23.3.15","天満722番地","藤並神社","1本","13","有田川町吉備地区","135.204959017811","34.0635781953634","史跡_名勝_天然記念物_面"
"","","193","6.000000","","県指定","天然記念物","田殿丹生神社夏瀬の森のクスノキ","たどのにゅうじんじゃなつせのもりのくすのき","平24.7.20","船坂1051番地1","個人","1本","13","有田川町吉備地区","135.223720534732","34.0759262679173","史跡_名勝_天然記念物_面"
"","","199","4.000000","","県指定","天然記念物","浄土寺のクス","じょうどじのくす","平24.7.20","西ヶ峯1466番地","浄土寺","1本","13","有田川町金屋地区","135.276075056891","34.0962668443689","史跡_名勝_天然記念物_面"
"","","335","2.000000","52図","国指定","史跡","熊野参詣道　紀伊路　中辺路　大辺路　小辺路　伊勢路　熊野川　七里御浜　花の窟","くまのさんけいみち　きいじ　なかへち　おおへち　こへち　いせじ　くまのがわ　しちりみはま　はなのいわや　","平12.11.2
平14.12.9分離・追加・名称変更
平24.1.24追加
平27.10.7追加・名称変更
平28.3.1追加
平30.2.13追加","新宮市、田辺市、海南市、有田市、御坊市、那智勝浦町、串本町、白浜町、すさみ町、上富田町、広川町、高野町","(高野町、有田市、広川町、田辺市、御坊市、上富田町、白浜町、すさみ町、串本町、那智勝浦町）","白浜町域：大辺路","22","白浜町日置川地区","135.48477521127","33.6033530777627","史跡_名勝_天然記念物_面"
"","","335","2.000000","52図","国指定","史跡","熊野参詣道　紀伊路　中辺路　大辺路　小辺路　伊勢路　熊野川　七里御浜　花の窟","くまのさんけいみち　きいじ　なかへち　おおへち　こへち　いせじ　くまのがわ　しちりみはま　はなのいわや　","平12.11.2
平14.12.9分離・追加・名称変更
平24.1.24追加
平27.10.7追加・名称変更
平28.3.1追加
平30.2.13追加","新宮市、田辺市、海南市、有田市、御坊市、那智勝浦町、串本町、白浜町、すさみ町、上富田町、広川町、高野町","(高野町、有田市、広川町、田辺市、御坊市、上富田町、白浜町、すさみ町、串本町、那智勝浦町）","白浜町域：大辺路","22","白浜町日置川地区","135.484656044568","33.5986429553989","史跡_名勝_天然記念物_面"
"","","335","2.000000","52図","国指定","史跡","熊野参詣道　紀伊路　中辺路　大辺路　小辺路　伊勢路　熊野川　七里御浜　花の窟","くまのさんけいみち　きいじ　なかへち　おおへち　こへち　いせじ　くまのがわ　しちりみはま　はなのいわや　","平12.11.2
平14.12.9分離・追加・名称変更
平24.1.24追加
平27.10.7追加・名称変更
平28.3.1追加
平30.2.13追加","新宮市、田辺市、海南市、有田市、御坊市、那智勝浦町、串本町、白浜町、すさみ町、上富田町、広川町、高野町","(高野町、有田市、広川町、田辺市、御坊市、上富田町、白浜町、すさみ町、串本町、那智勝浦町）","白浜町域：大辺路","22","白浜町日置川地区","135.486219331762","33.5972334230738","史跡_名勝_天然記念物_面"
