"名称","住所","linkNo","遺跡番号","地図","遺跡名","いせきめい","所在地","種別","時代","立地","遺跡概況","備考","市町村C","経度","緯度","分類"
"","","432","108-2","5図","直川八幡山14号墳","0","直川","古墳","古墳","山腹","円墳（径15m）","","01 和歌山市","135.222890423296","34.2726085869112","埋蔵文化財包蔵地_面"
"","","439","115","5図","直川八幡山11号墳","0","直川","古墳","古墳","山腹","円墳","","01 和歌山市","135.226339438969","34.2730844203318","埋蔵文化財包蔵地_面"
"","","440","116","5図","直川八幡山12号墳","0","直川","古墳","古墳","山腹","円墳","","01 和歌山市","135.226722253216","34.2723550366505","埋蔵文化財包蔵地_面"
"","","434","110","5図","直川八幡山6号墳","0","直川","古墳","古墳","山腹","円墳","","01 和歌山市","135.223678761669","34.2716564723175","埋蔵文化財包蔵地_面"
"","","430","107","5図","直川八幡山3号墳","0","直川","古墳","古墳","山腹","円墳","","01 和歌山市","135.222107556951","34.2716676167364","埋蔵文化財包蔵地_面"
"","","433","109","5図","直川八幡山5号墳","0","直川","古墳","古墳","山腹","方墳","","01 和歌山市","135.223444501755","34.270914761148","埋蔵文化財包蔵地_面"
"","","9999","","","","","","","","","","","","135.235084604128","34.2737591648396","埋蔵文化財包蔵地_面"
"","","9999","","","","","","","","","","","","135.233728453895","34.2733759371315","埋蔵文化財包蔵地_面"
"","","9999","","","","","","","","","","","","135.233876391471","34.2738631272348","埋蔵文化財包蔵地_面"
"","","9999","","","","","","","","","","","","135.236842649587","34.2731746172032","埋蔵文化財包蔵地_面"
"","","9999","","","","","","","","","","","","135.233748090309","34.272908706499","埋蔵文化財包蔵地_面"
"","","9999","","","","","","","","","","","","135.236524948219","34.2731203058482","埋蔵文化財包蔵地_面"
"","","9999","","","","","","","","","","","","135.234738231569","34.2732529517155","埋蔵文化財包蔵地_面"
"","","9999","","","","","","","","","","","","135.237167041269","34.2732271371978","埋蔵文化財包蔵地_面"
"","","9999","","","","","","","","","","","","135.237507420365","34.2732989800224","埋蔵文化財包蔵地_面"
"","","9999","","","","","","","","","","","","135.237112003429","34.2728660064847","埋蔵文化財包蔵地_面"
"","","9999","","","","","","","","","","","","135.236092358427","34.2742209668102","埋蔵文化財包蔵地_面"
"","","9999","","","","","","","","","","","","135.235840984746","34.274077529943","埋蔵文化財包蔵地_面"
"","","9999","","","","","","","","","","","","135.236223918468","34.2739621793199","埋蔵文化財包蔵地_面"
"","","9999","","","","","","","","","","","","135.233795710052","34.2724580073028","埋蔵文化財包蔵地_面"
"","","9999","","","","","","","","","","","","135.235542188868","34.2738732430164","埋蔵文化財包蔵地_面"
"","","468","126","5図","別所2号墳","0","弘西","古墳","古墳","山腹","円墳","","01 和歌山市","135.241511469781","34.2748683272174","埋蔵文化財包蔵地_面"
"","","9999","","","","","","","","","","","","135.240252213194","34.2750347985798","埋蔵文化財包蔵地_面"
"","","469","127","5図","別所3号墳","0","弘西","古墳","古墳","山腹","円墳","","01 和歌山市","135.244321334669","34.2771320302441","埋蔵文化財包蔵地_面"
"","","48","49","5図","城山古墳","しろやまこふん","木ノ本","古墳","古墳","丘陵","円墳（消滅？）","","01 和歌山市","135.124382970486","34.2679523129758","埋蔵文化財包蔵地_面"
"","","50","51","5図","権現山2号墳","ごんげんやまにごうふん","木ノ本","古墳","古墳","丘陵","円墳","","01 和歌山市","135.131052937633","34.270106551721","埋蔵文化財包蔵地_面"
"","","55","56","5図","川原崎遺跡","かわはらざきいせき","栄谷","","","山腹","長60×幅30mの方形状の土壇、火葬墓2基、須恵器","","01 和歌山市","135.155432709366","34.2653785663685","埋蔵文化財包蔵地_面"
"","","382","57","5図","川原崎1号墳","0","栄谷","古墳","古墳","山腹","","","01 和歌山市","135.155801949524","34.2637920785464","埋蔵文化財包蔵地_面"
"","","383","58","5図","川原崎2号墳","0","栄谷","古墳","古墳","山腹","円墳","","01 和歌山市","135.156632889408","34.2628748123767","埋蔵文化財包蔵地_面"
"","","384","59","5図","川原崎3号墳","0","栄谷","古墳","古墳","山腹","","","01 和歌山市","135.156271914219","34.262190441759","埋蔵文化財包蔵地_面"
"","","378","53-2","5図","高芝2号墳","0","中","古墳","古墳","丘陵","","","01 和歌山市","135.150208504121","34.2618520833709","埋蔵文化財包蔵地_面"
"","","63","72","5図","奥出古墳","おくでこふん","園部","古墳","古墳","丘陵","円墳（径約25m）、横穴式石室","","01 和歌山市","135.18789258921","34.2698760042571","埋蔵文化財包蔵地_面"
"","","64","73","5図","有功経塚","いさおきょうづか","園部","経塚","中世","丘陵","一字一石経","","01 和歌山市","135.189219874463","34.2708413353234","埋蔵文化財包蔵地_面"
"","","88","97","5図","北山Ⅰ遺跡","きたやまいちいせき","直川","散布地","","山腹","方形状の土壇","","01 和歌山市","135.213844919455","34.269776760334","埋蔵文化財包蔵地_面"
"","","369","33","4図","磯の浦1号墳","0","磯の浦","古墳","古墳","山頂","円墳、土師器","","01 和歌山市","135.092623561624","34.2628125846069","埋蔵文化財包蔵地_面"
"","","370","34","4図","磯の浦2号墳","0","磯の浦","古墳","古墳","山頂","円墳、土師器","","01 和歌山市","135.098467522468","34.2629567399626","埋蔵文化財包蔵地_面"
"","","371","35","4図","磯の浦3号墳","0","磯の浦","古墳","古墳","山頂","円墳、土師器","","01 和歌山市","135.099215789074","34.262818716622","埋蔵文化財包蔵地_面"
"","","2147","13-4","9図","上兵庫4号墳","0","隅田町上兵庫","古墳","古墳","丘陵上","円墳、組合せ式箱式石棺","","06 橋本市橋本地区","135.640451173483","34.3270674124813","埋蔵文化財包蔵地_面"
"","","2066","7","9図","八幡宮古墳","はちまんぐうこふん","隅田町中島","古墳","古墳","台地","","","06 橋本市橋本地区","135.64425337608","34.3326454705398","埋蔵文化財包蔵地_面"
"","","2065","6","9図","宮の壇古墳","みやのだんこふん","隅田町垂井","古墳","古墳","台地","","","06 橋本市橋本地区","135.645748297944","34.3337658024567","埋蔵文化財包蔵地_面"
"","","2148","13-5","9図","上兵庫5号墳","0","隅田町上兵庫","古墳","古墳","丘陵上","円墳、竪穴式石室？","","06 橋本市橋本地区","135.640771696054","34.3270368083122","埋蔵文化財包蔵地_面"
"","","2069","10","9図","血縄古墳","ちなわこふん","隅田町中下","古墳？","古墳？","河岸段丘","円墳？、横穴式石室？","","06 橋本市橋本地区","135.643202347487","34.3242058032272","埋蔵文化財包蔵地_面"
